fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
59.96442028043485,61.48034885231836,59.35329151208551,57.700453596668325,59.21638216855184,57.089324828318986,0,0,0
0,0,0,0,0,0,0,0,0
58.93160928588505,0,0,60.134854927354255,0,0,59.367229921728466,0,0
61.05028123529514,60.7395416711575,60.67036081736176,0,0,0,0,0,0
65.19099167697797,0,61.462812869702894,63.4757305430165,0,59.74755173574143,64.22278349989509,0,60.49460469262001
64.0654437807644,62.25188849459788,61.656758267924786,63.12746171271026,61.31390642654373,60.718776199870646,63.12746171271026,61.31390642654373,60.718776199870646
58.09671535862738,57.145426519736276,57.29780684855466,57.569152802883856,56.617863963992754,56.770244292811135,57.569152802883856,56.617863963992754,56.770244292811135
60.03788961590203,58.52368777279514,58.851638443579205,0,0,0,0,0,0
60.370976817081676,58.63787798731288,57.776777577377175,60.21015339905667,58.47705456928788,57.615954159352164,61.76761974847039,60.034520918701595,59.17342050876588
58.358031076365535,56.97798971464405,59.648279860641956,58.6349640508286,57.25492268910712,59.92521283510502,57.915354454387156,56.535313092665675,59.20560323866358
60.39061211222542,59.94332775565558,58.94836906233576,56.88387807615181,56.43659371958197,55.44163502626215,60.07701757620174,59.6297332196319,58.63477452631208
59.66664041657711,59.863531063788294,60.25451996434386,59.197192216203234,59.39408286341442,59.78507176396998,59.197192216203234,59.39408286341442,59.78507176396998
60.546999541668306,59.295947985552985,59.295947985552985,61.62663013882236,60.375578582707035,60.375578582707035,60.9491209907705,59.69806943465518,59.69806943465518
60.38599661648203,58.852557913468374,59.43242892974918,61.635363202929966,60.10192449991631,60.68179551619712,0,0,0
61.09622648252463,61.340890008996475,61.04641904281407,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
58.82370900548272,61.28409850003166,58.31605198740879,58.34830041662098,60.80868991116992,57.84064339854705,57.71687581713227,60.17726531168121,57.20921879905834
60.09835624224242,0,0,61.00365677002564,0,0,0,0,0
