fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
63.499481126323616,63.29842086998935,63.29842086998935,0,0,0,62.304697676663,62.103637420328745,62.103637420328745
0,0,0,0,0,0,0,0,0
63.72697228021965,60.52371941961187,60.52371941961187,63.376302678214685,60.17304981760691,60.17304981760691,63.376302678214685,60.17304981760691,60.17304981760691
58.23447155797443,57.06124061503285,58.361252274821474,57.16378774881554,55.99055680587396,57.29056846566258,0,0,0
61.27977796886135,0,61.307540384076624,0,0,0,0,0,0
63.95475099060702,0,0,59.995222624125596,0,0,59.995222624125596,0,0
0,0,0,0,0,0,0,0,0
61.80240117572631,62.45524944498666,62.30054852070083,0,0,0,61.840945126137946,62.4937933953983,62.339092471112465
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
59.17988384192997,60.49553687746277,59.64723670005449,58.02636245860498,59.34201549413777,58.4937153167295,57.484234613464245,58.79988764899704,57.951587471588766
57.42621336003789,57.07461454915219,59.48469931310099,58.98354947140843,58.631950660522726,61.04203542447152,0,0,0
60.210161778857675,61.398096092428204,0,61.83331320728656,63.02124752085709,0,63.9485294631102,65.13646377668073,0
0,0,0,0,0,0,0,0,0
60.25535284846648,0,60.37934234439626,60.5609778612907,0,60.68496735722048,0,0,0
62.96937213334033,63.17326411806908,0,0,0,0,0,0,0
0,0,0,0,0,0,56.856586322232914,57.13080620872033,55.56672841449081
62.80315610520996,0,60.829772584800324,61.94328575324895,0,59.96990223283932,61.143568923990394,0,59.17018540358076
62.34518575537584,62.03241964731381,61.42957044076172,59.613504578660596,59.30073847059857,58.69788926404648,62.04473953942227,61.73197343136024,61.12912422480815
58.00052650306939,0,0,58.55506142529774,0,0,58.55506142529774,0,0
60.65520267292305,60.40964947344057,60.3860719712568,61.28685944844766,61.04130624896517,61.0177287467814,61.28685944844766,61.04130624896517,61.0177287467814
61.76724692405557,60.08240254937623,60.08240254937623,62.16110492096753,60.476260546288195,60.476260546288195,62.16110492096753,60.476260546288195,60.476260546288195
0,0,0,0,0,0,0,0,0
62.79416702481919,60.85126328150612,63.00563321058273,61.24233531354328,59.29943157023021,61.45380149930682,62.28032637210387,60.337422628790804,62.49179255786741
59.72752133933628,0,59.84042812707803,58.847683384665956,0,58.960590172407706,58.96713012772438,0,59.080036915466124
62.330678838934155,62.164836762680714,62.164836762680714,61.06479803576746,60.89895595951402,60.89895595951402,61.06479803576746,60.89895595951402,60.89895595951402
56.848024696512184,0,57.18110278570038,57.325727722678906,0,57.658805811867104,57.88342194564652,0,58.216500034834716
0,0,0,0,0,0,0,0,0
56.30253534110077,57.53687289259018,56.54825248122633,57.91938170482771,59.15371925631712,58.16509884495326,59.454455381855546,60.688792933344956,59.7001725219811
58.05763007303773,0,0,57.6689806175749,0,0,58.85051579975122,0,0
60.127681272208996,60.8749026040671,60.229237535202806,54.692270327698104,55.43949165955621,54.793826590691914,54.692270327698104,55.43949165955621,54.793826590691914
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
60.44660628588668,60.71854211952464,59.61062528080548,57.37545451893771,57.64739035257567,56.53947351385651,59.3101827033419,59.58211853697986,58.4742016982607
60.17808411558875,0,0,60.14977222937875,0,0,59.873330829593925,0,0
61.32340877408572,62.21855860929966,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
62.82891473948471,62.27808695367101,61.647567796024354,61.114975177305105,60.5641473914914,59.93362823384475,59.78792364921349,59.23709586339979,58.606576705753135
0,0,0,0,0,0,0,0,0
61.736485761379996,0,62.88062138268418,60.48835009240672,0,61.632485713710906,58.79333019992475,0,59.93746582122894
58.29657615921504,59.24349623916404,0,56.50719818976545,57.45411826971444,0,60.598788054179415,61.54570813412841,0
58.73768238645195,58.20501449889013,0,60.76482348434444,60.23215559678262,0,0,0,0
61.29082954938806,61.269168037243226,61.269168037243226,59.347989496656595,59.326327984511764,59.326327984511764,60.428993440159914,60.40733192801508,60.40733192801508
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
57.965606635149854,58.11941456738956,58.24748062879189,54.62634969540967,54.78015762764938,54.90822368905171,57.00166779302627,57.15547572526598,57.28354178666831
57.710285828379774,0,0,59.22484697658944,0,0,0,0,0
60.76674293443901,61.622947346426464,0,0,0,0,60.341204394544334,61.19740880653179,0
61.595548105484966,0,60.22344671440357,60.07076637867175,0,58.698664987590355,0,0,0
62.59276946017208,62.024040724272794,61.03664400170163,0,0,0,60.84931842876256,60.28058969286329,59.29319297029212
56.527133647964575,57.20621990488825,56.14353567622497,57.974285424109894,58.65337168103357,57.59068745237029,57.16402841176079,57.843114668684464,56.780430440021185
0,0,0,0,0,0,0,0,0
66.7127876470808,64.19579051302351,64.19579051302351,67.08360100038215,64.56660386632485,64.56660386632485,67.08360100038215,64.56660386632485,64.56660386632485
60.91012513792722,60.598344691999586,61.47138573218919,0,0,0,0,0,0
60.117666025330216,58.38340191461245,0,0,0,0,0,0,0
62.891697632695255,62.96229380560995,62.96229380560995,61.79693599659613,61.86753216951083,61.86753216951083,62.591732981997055,62.66232915491175,62.66232915491175
0,0,0,0,0,0,0,0,0
59.96357153402212,59.42964712494504,59.42964712494504,59.23650434794648,58.7025799388694,58.7025799388694,60.218906629274976,59.684982220197895,59.684982220197895
61.429920441952504,60.22561931157126,0,60.618919156609394,59.41461802622815,0,0,0,0
60.294009506513554,60.68885846253076,60.9115764776394,0,0,0,59.72192720766703,60.116776163684236,60.339494178792876
0,0,0,0,0,0,0,0,0
58.618048106169226,57.97806030838307,0,57.27149157325826,56.631503775472105,0,57.27149157325826,56.631503775472105,0
58.424060880839725,57.67737320018537,58.4952016401683,60.17712084711163,59.43043316645728,60.2482616064402,58.519337979988244,57.77265029933389,58.590478739316815
59.03867095240093,58.70549034342067,55.955453153131515,57.894354165533834,57.56117355655358,54.81113636626442,57.931789411328545,57.59860880234829,54.84857161205913
60.07233118954627,58.70176904684088,60.3211277020188,57.56718150780687,56.19661936510148,57.8159780202794,0,0,0
59.49003082609162,60.49675542877152,57.72869113147215,59.015014352698074,60.02173895537798,57.2536746580786,61.726985127112826,62.73370972979273,59.96564543249335
59.31142289336467,58.913125709253855,58.913125709253855,57.89680989245927,57.49851270834845,57.49851270834845,59.43131409911678,59.033016915005966,59.033016915005966
62.12749065216761,0,0,59.10207906306357,0,0,59.10207906306357,0,0
62.35205525396464,61.61343718685586,61.61343718685586,61.28481483230282,60.54619676519404,60.54619676519404,0,0,0
59.5962207056306,59.134478445134505,58.609215161676545,62.831429851009595,62.3696875905135,61.84442430705553,62.960264758283905,62.49852249778781,61.97325921432984
63.583960186592314,63.375128811365016,0,63.47423061930784,63.26539924408054,0,63.67880225023436,63.469970875007064,0
0,0,0,0,0,0,0,0,0
60.88602918082512,0,60.612305939991636,60.3274248158135,0,60.05370157498002,60.3274248158135,0,60.05370157498002
61.861528566006236,0,0,63.37927334987686,0,0,61.72581088764238,0,0
61.06130321393935,0,60.39625279139141,61.46999388392273,0,60.8049434613748,61.46999388392273,0,60.8049434613748
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
58.546848742251356,58.30065722619486,56.365349249150405,59.22021557574032,58.97402405968382,57.03871608263937,59.22021557574032,58.97402405968382,57.03871608263937
60.26937214094962,59.2664947593706,61.82533587768569,60.311799912021975,59.308922530442956,61.86776364875804,58.28405756269297,57.28118018111395,59.84002129942904
