fixed_count,version3_1,version3_2,version3_3,version4_1,version4_2,version4_3,is_equal
2132,9846,15057,21957,6002,9068,10767,True
2600,9427,12628,17263,6010,7604,7210,True
3001,6056,6901,11552,3858,4703,5940,True
1257,4403,7260,11712,2780,5015,5406,True
253,2066,5889,12228,1421,4757,7136,True
816,1632,4775,11877,816,3959,3959,True
3394,10200,14302,22155,5923,8197,8617,True
1301,10087,12679,13649,6525,6525,6525,True
3108,7005,7005,10214,4332,4332,4868,True
2304,6628,8794,12950,4158,5516,5922,True
3005,5223,5223,8884,3005,3005,4448,True
1619,3201,3201,4783,2098,2098,2577,True
737,3123,4329,5806,2015,2630,3070,True
1891,3782,3782,5673,2323,2323,2755,True
0,0,0,0,0,0,0,True
1132,2327,2327,3404,1502,1502,1754,True
1490,4862,5803,7293,2431,2431,2431,True
2153,9337,11943,14084,6118,6957,7646,True
3722,10532,12937,17565,7049,8316,7880,True
3235,5686,7084,12777,3519,4917,5971,True
2603,13484,17570,20017,8611,9650,10271,True
1259,2752,4098,7632,1588,2693,3094,True
1446,5124,8236,13750,3149,5408,5173,True
3595,18626,26681,36044,12700,17176,13923,True
6192,23558,31350,42126,15011,18783,20633,True
3316,9421,12693,19618,6271,8565,9201,True
475,1917,2757,3871,1136,1555,1853,True
3034,10199,15925,26254,6674,10985,14134,True
1765,6136,9451,15264,4054,6435,8312,True
3109,8480,11586,18295,4899,6696,6237,True
2415,9768,13844,19473,6555,9024,6555,True
414,3539,4986,5972,2092,2378,2092,True
2425,6340,8619,13774,3779,5140,5019,True
1135,3087,3454,4635,2007,2117,2475,True
858,1611,1611,2457,1029,1029,1293,True
1986,8555,11755,15903,5192,6317,5705,True
2837,6266,6868,9427,4075,4426,4075,True
2330,4486,5726,10461,2899,4139,5465,True
1906,7620,13188,22422,5210,9574,12970,True
1098,2201,3305,6301,1478,2582,3407,True
2167,9690,12969,16500,5783,6617,7018,True
1145,2233,4561,10015,1540,3868,5669,True
3253,10496,13004,17289,7163,8404,9859,True
2754,9362,11289,14043,4681,4681,4681,True
675,2050,3292,5663,1243,2268,2641,True
2987,10869,15373,22877,6641,8820,9110,True
1474,5996,8180,10942,3864,4930,5684,True
1873,4150,4379,6191,2708,2774,3307,True
1734,5594,8392,13596,3469,5204,7220,True
0,5549,9590,13087,3532,5556,6509,True
4186,11321,13708,18131,6770,7418,7217,True
1250,2076,2076,2902,1250,1250,1250,True
2934,10158,12870,17113,6536,7769,8509,True
0,0,0,0,0,0,0,True
4449,9134,9134,13583,6182,6182,7679,True
1864,5810,8206,12678,3765,5445,6542,True
0,0,2206,8646,0,2206,4234,True
1797,3594,5499,11106,1797,3702,3702,True
2668,8366,11273,16417,5546,7339,6130,True
905,4383,5797,7103,2763,3216,3162,True
3405,11122,14364,19830,7319,9050,9493,True
4701,9078,9078,12495,5661,5661,5661,True
0,0,0,0,0,0,0,True
406,1112,1820,3340,704,1302,1708,True
276,2442,6345,12517,1476,4631,5919,True
423,3794,5254,6283,2478,2925,2762,True
2012,3798,5217,10024,2405,3824,5014,True
1554,6230,8907,12693,3115,4231,3115,True
986,4920,6330,7145,2695,2695,2695,True
1999,5576,6365,8364,2788,2788,2788,True
1528,4146,4799,6105,2712,2887,3237,True
2411,4822,4822,6694,2950,2950,2950,True
0,0,0,0,0,0,0,True
2885,7561,9335,14253,4888,6064,7711,True
725,1951,2450,3458,1292,1577,1292,True
0,0,0,0,0,0,0,True
2088,12672,16704,18671,8382,9530,10091,True
1585,4685,6153,9029,2965,3855,4441,True
2265,4530,7239,14922,2265,4974,4974,True
0,708,2521,5501,472,2049,3037,True
1978,6554,9635,15161,4260,6419,8059,True
2016,6667,7922,9839,4240,4535,4985,True
1722,2947,2947,4172,1722,1722,1722,True
1895,4996,5865,8117,3207,3725,3207,True
1927,7023,10065,14872,4385,6142,7100,True
4822,14598,17075,21897,7299,7299,7299,True
0,0,0,0,0,0,0,True
2762,14655,18450,20960,9187,9691,10024,True
2295,5957,8209,13485,3979,5749,7407,True
2308,9332,12445,16550,6037,7503,7912,True
5713,10404,12680,22420,6789,9065,11678,True
2326,9152,11886,15124,6005,7168,8154,True
5111,21696,32959,49097,14031,21325,20951,True
3980,11931,15409,21761,7466,9225,9000,True
0,0,0,0,0,0,0,True
1151,2302,3451,6900,1151,2300,2300,True
2269,4538,5894,10875,3030,4386,6051,True
0,0,695,2053,0,695,1007,True
1595,3033,6329,15711,1910,5206,8319,True
203,2558,3837,4446,1279,1482,1279,True
1199,2572,3515,6890,1561,2504,3480,True
1073,5442,8389,12060,2721,4020,3548,True
2890,9302,12706,18795,5949,8043,9699,True
1054,1796,1796,2799,1054,1054,1315,True
890,1669,2449,4953,1008,1788,2307,True
2418,8681,12623,19073,5637,8208,7062,True
3473,15890,20362,23835,7945,7945,7945,True
2794,9973,13538,19003,5998,7438,8173,True
1885,3195,3195,5080,1885,1885,2460,True
0,1756,3709,5900,1117,2431,2974,True
2532,6860,9265,14329,4098,5449,4537,True
2197,6971,10006,15642,4587,6706,7222,True
1244,8056,11956,15794,5288,7274,5934,True
0,0,0,0,0,0,0,True
1431,6210,8861,12236,4069,5562,6620,True
2573,10761,15333,21575,6487,8841,8386,True
1976,3880,3880,5525,2523,2523,2811,True
3547,11311,14841,20981,7086,9135,7086,True
673,4586,6701,8562,2983,3958,4430,True
1338,5094,7585,11471,3267,4890,5899,True
0,0,0,0,0,0,0,True
2994,11082,13629,16623,7189,7946,8837,True
1482,5756,8877,13809,3593,5665,4806,True
1478,2873,2873,4268,1775,1775,2072,True
1412,5010,6103,7515,3128,3400,3751,True
1291,3398,5224,9346,2130,3618,4680,True
1240,4340,6206,9290,2640,3754,3034,True
1585,5184,8092,13604,3200,5252,6720,True
0,0,0,0,0,0,0,True
