fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
62.3206558814409,60.070925031912964,60.070925031912964,60.844415727799245,58.59468487827131,58.59468487827131,0,0,0
62.55127919467679,60.296749093742285,60.296749093742285,62.1785856701123,59.924055569177796,59.924055569177796,62.88738707991917,60.63285697898467,60.63285697898467
63.44387163777074,64.39687319754613,63.12711365869556,62.73633042276002,63.6893319825354,62.41957244368484,62.73633042276002,63.6893319825354,62.41957244368484
61.750726575343045,62.704956945579845,62.704956945579845,62.57780652205654,63.53203689229334,63.53203689229334,61.420567889668156,62.374798259904956,62.374798259904956
62.2598820486958,0,0,0,0,0,0,0,0
61.70712714377215,0,0,0,0,0,0,0,0
59.47780383185007,59.44344502850218,60.31923201911788,0,0,0,60.4388872054995,60.40452840215161,61.28031539276731
0,0,0,0,0,0,0,0,0
62.43538451655989,61.535898449617704,61.535898449617704,61.73249873306303,60.83301266612084,60.83301266612084,61.73249873306303,60.83301266612084,60.83301266612084
63.09613838342962,63.731492507613844,63.302785592277466,63.37562680614221,64.01098093032643,63.582274014990055,62.1823805753496,62.81773469953382,62.389027784197445
61.19728181425735,0,0,59.15849134724746,0,0,59.15849134724746,0,0
61.31981605987031,0,62.19251427430306,59.73968467056648,0,60.61238288499923,58.339238800319755,0,59.2119370147525
59.63405521071831,59.64074437714855,59.64074437714855,59.42037712320847,59.42706628963871,59.42706628963871,58.99097860792024,58.99766777435048,58.99766777435048
61.32291615005244,0,60.930634142374004,60.18465742037499,0,59.79237541269655,0,0,0
60.79142329312981,60.32927192362584,57.571633919078174,62.41485395540913,61.95270258590516,59.19506458135749,61.75156546418708,61.28941409468311,58.531776090135445
59.235913280290376,58.43791911483676,58.83081655571579,0,0,0,59.991603251503236,59.19360908604962,59.58650652692865
0,0,0,0,0,0,0,0,0
60.38525925224362,59.9697524722812,61.65863401213769,60.29530992981107,59.879803149848655,61.56868468970514,60.29530992981107,59.879803149848655,61.56868468970514
62.949573308167295,0,0,62.55511825481695,0,0,0,0,0
61.536093316933375,60.517374373425945,60.914163446535824,61.908499390717694,60.88978044721026,61.28656952032014,61.908499390717694,60.88978044721026,61.28656952032014
62.388671485348695,63.51344673820691,63.51344673820691,61.12399921548109,62.24877446833931,62.24877446833931,59.61926458902231,60.74403984188052,60.74403984188052
57.779344304396226,0,58.44227968304222,0,0,0,59.112242981094205,0,59.7751783597402
61.54812967938766,0,62.17243907139889,62.36086127415356,0,62.98517066616479,61.066458076963556,0,61.69076746897479
63.40915424194333,62.52182310991062,62.451018370392,0,0,0,0,0,0
60.568412970528136,0,57.77396228968363,59.79358295317855,0,56.999132272334045,57.468753767716386,0,54.67430308687188
59.74142529640052,59.299667909428024,59.299667909428024,59.54645511375159,59.1046977267791,59.1046977267791,59.54645511375159,59.1046977267791,59.1046977267791
62.3466228844735,63.66461551029512,63.66461551029512,62.03988582228282,63.357878448104444,63.357878448104444,0,0,0
62.61386357632897,62.750224249139876,62.750224249139876,0,0,0,0,0,0
59.694781675630715,58.0847310272067,58.0847310272067,0,0,0,58.31994832708219,56.70989767865817,56.70989767865817
61.86083903090584,63.17112808580666,0,62.64562960787919,63.95591866278001,0,0,0,0
61.67767196011988,59.859932272241736,59.859932272241736,61.7311625588586,59.913422870980455,59.913422870980455,61.7311625588586,59.913422870980455,59.913422870980455
57.498115491026766,55.53254773181312,55.7959207270041,58.97870619901491,57.01313843980126,57.276511434992244,0,0,0
0,0,0,0,0,0,0,0,0
58.66313165341667,59.47666985371121,0,57.86311198276559,58.676650183060126,0,57.86311198276559,58.676650183060126,0
