fixed_count,version3_count,version4_count,is_equal
2870,18388,9072,True
1112,13026,6020,True
0,0,0,True
2361,23289,7763,True
2638,19725,10723,True
4394,34347,17809,True
1515,7546,4106,True
0,0,0,True
572,5483,2883,True
0,0,0,True
1394,7533,3797,True
4232,43476,12686,True
