version3_count,version4_count,is_equal
10543,3702,True
28033,14723,True
0,0,True
8081,3957,True
11128,4706,True
25954,14326,True
0,0,True
9235,4893,True
7684,3882,True
38958,17256,True
17506,9564,True
24738,13638,True
19110,5370,True
8643,3965,True
10395,5519,True
32621,14137,True
27583,13141,True
20852,10396,True
29059,14493,True
41460,16477,True
44313,24457,True
32766,11429,True
33437,12617,True
9672,3357,True
1164,576,True
21488,10710,True
12182,6216,True
23179,11821,True
21113,9395,True
31960,10316,True
26207,10384,True
41547,13849,True
36883,20757,True
28202,13148,True
21452,11132,True
34507,14569,True
8462,3898,True
20157,8622,True
12421,6353,True
19790,9764,True
38222,20088,True
19512,4573,True
10676,5434,True
20086,7542,True
19165,8799,True
73776,29362,True
12579,6373,True
22624,9234,True
21303,11435,True
10257,3040,True
20776,7423,True
28046,14066,True
5102,2808,True
42360,17964,True
41546,21028,True
7346,3004,True
15771,7863,True
29260,14794,True
5793,1931,True
0,0,True
21037,10391,True
18904,7592,True
17200,6629,True
25302,12754,True
11436,5992,True
16982,7414,True
34749,16432,True
24715,13133,True
12048,6274,True
20141,10461,True
0,0,True
0,0,True
27373,14217,True
21329,10553,True
21365,11999,True
11037,4354,True
27337,14569,True
8171,3615,True
40686,10652,True
0,0,True
24657,9701,True
18685,7514,True
21965,11529,True
15926,7912,True
11430,4036,True
19273,8243,True
18614,9290,True
14932,5628,True
31286,15276,True
0,0,True
10459,4277,True
29872,12714,True
25424,13536,True
12835,6111,True
43930,18493,True
10280,4810,True
2289,763,True
17455,9703,True
6299,2789,True
12114,4038,True
17763,6152,True
20708,11190,True
5346,2988,True
16619,6789,True
4260,2156,True
72807,40593,True
19436,9332,True
42323,18267,True
13059,7077,True
25614,14112,True
10523,5303,True
6431,2617,True
24999,10936,True
39916,17851,True
28934,15410,True
4383,1461,True
44017,23207,True
17580,9146,True
0,0,True
17469,9569,True
41216,15184,True
0,0,True
4365,2235,True
9640,4440,True
4650,2172,True
16167,7515,True
14899,6038,True
33646,13763,True
13439,6573,True
16068,8364,True
20170,10584,True
48815,22641,True
15081,8115,True
3223,1551,True
25623,9419,True
1662,554,True
10780,5464,True
30471,15629,True
22698,8444,True
17043,9159,True
0,0,True
9485,3746,True
17252,4635,True
20477,9847,True
7682,3882,True
13573,6541,True
4746,2728,True
28904,12354,True
8748,4370,True
35418,18572,True
1315,635,True
27432,7902,True
0,0,True
23960,11660,True
21255,5467,True
20127,10347,True
45052,14088,True
47064,18683,True
26158,7904,True
3354,1784,True
11013,5098,True
9575,4933,True
17271,6911,True
27467,12936,True
7269,3335,True
7701,3659,True
10505,3866,True
31452,16824,True
10903,4567,True
14340,7658,True
3127,1595,True
20638,8691,True
19943,7040,True
16668,7178,True
16313,7735,True
9195,3991,True
7175,3675,True
4789,2515,True
8814,3832,True
22717,7715,True
5605,2595,True
18003,8505,True
21903,10575,True
0,0,True
14920,7766,True
17862,6860,True
20058,9284,True
39581,22789,True
41347,17696,True
18414,7264,True
23345,12179,True
24007,11139,True
12634,6742,True
15063,7561,True
16910,8298,True
15735,6854,True
13825,5917,True
20711,9483,True
47700,24391,True
0,0,True
9040,4554,True
12941,6155,True
0,0,True
10185,2775,True
10146,3382,True
26899,9869,True
17172,7778,True
9914,4078,True
11571,6203,True
18659,9653,True
9288,4782,True
5370,2402,True
24319,11551,True
45454,18635,True
7795,3717,True
7779,3171,True
16149,3423,True
0,0,True
39640,22328,True
10670,5414,True
18345,8801,True
17477,7919,True
12654,6074,True
16966,6422,True
0,0,True
8724,4216,True
59095,31275,True
17232,8600,True
25914,10688,True
48015,26957,True
30463,16189,True
24728,10050,True
14880,6328,True
35412,15083,True
7188,2211,True
19758,10166,True
16102,7478,True
6117,2979,True
13545,3455,True
17044,8952,True
11095,3981,True
6733,2829,True
6891,3489,True
33943,16037,True
4203,1490,True
12440,5974,True
55291,21040,True
46175,19030,True
7445,3652,True
0,0,True
18909,9889,True
18309,5334,True
0,0,True
10251,5753,True
11811,4993,True
29205,9735,True
7710,3180,True
28648,10691,True
15657,7235,True
16038,6372,True
1834,850,True
18468,5467,True
26293,11988,True
0,0,True
20992,10064,True
31579,14669,True
1739,893,True
43932,21804,True
19907,6882,True
20887,9725,True
18900,8186,True
9674,4280,True
18052,7710,True
17023,6995,True
24957,12149,True
12811,6477,True
14412,3790,True
9008,3512,True
0,0,True
11682,5542,True
0,0,True
11823,4062,True
10918,3222,True
25568,13234,True
6360,2120,True
36401,16768,True
24222,11832,True
6990,2330,True
5217,2721,True
12606,5922,True
55665,32203,True
30578,16472,True
20328,9752,True
8574,4698,True
17799,9737,True
26963,10205,True
6099,3261,True
0,0,True
9168,3056,True
8877,2086,True
23746,10028,True
13016,5798,True
20061,11111,True
33166,16350,True
9900,4864,True
17673,5047,True
17540,9280,True
21900,11250,True
0,0,True
2832,1146,True
21826,11582,True
8780,3896,True
19424,8676,True
0,0,True
28041,13220,True
13298,6740,True
15485,6563,True
14541,7127,True
14051,7381,True
14989,5985,True
24769,9287,True
23983,12591,True
11142,5288,True
40394,13183,True
29430,16328,True
3663,1221,True
7515,2505,True
74817,32740,True
24543,13765,True
11808,5392,True
16029,8483,True
5134,2274,True
21760,10638,True
22955,10533,True
9122,4174,True
15820,6400,True
39716,18160,True
32872,15542,True
9896,3887,True
28719,11007,True
34492,17912,True
8871,4711,True
22966,12008,True
13650,6306,True
27558,14040,True
24658,11832,True
5604,1388,True
7207,3669,True
20629,8290,True
13588,7390,True
0,0,True
29982,13517,True
0,0,True
21358,10568,True
25626,12404,True
31684,17388,True
24179,11373,True
18210,10328,True
13393,6337,True
12852,6810,True
17182,8342,True
8370,4170,True
12878,6776,True
27094,10409,True
8753,4937,True
17564,7345,True
16125,8655,True
45452,22373,True
13347,6319,True
19557,9617,True
0,0,True
0,0,True
12759,5549,True
0,0,True
23659,10531,True
22797,11147,True
18099,9369,True
29104,12840,True
15965,7629,True
23565,6438,True
7108,2496,True
26846,8317,True
28788,10860,True
5709,3131,True
46755,10113,True
17556,8836,True
16227,7305,True
33716,12263,True
9396,3132,True
21220,8604,True
19719,6573,True
15816,5272,True
30049,15152,True
13793,6275,True
0,0,True
22442,10578,True
15949,8193,True
7801,3451,True
18219,7169,True
28326,15154,True
18780,8854,True
32484,16270,True
27564,12293,True
21845,8194,True
14273,6691,True
0,0,True
2454,1226,True
77299,34952,True
6084,2028,True
43587,24519,True
52402,19763,True
9420,4680,True
0,0,True
1878,626,True
0,0,True
23621,12991,True
11189,5791,True
0,0,True
8691,2897,True
19090,7936,True
21915,10845,True
10377,3459,True
17485,8925,True
16588,8818,True
10158,5382,True
46118,23073,True
5435,2701,True
9541,4524,True
16890,5630,True
7973,4307,True
20923,10663,True
0,0,True
0,0,True
4725,2135,True
42437,23235,True
34230,14034,True
5116,2536,True
19437,7922,True
40009,19767,True
31228,9712,True
0,0,True
19723,9803,True
11823,3698,True
11973,3991,True
9066,4834,True
11005,5611,True
25499,13471,True
19556,8189,True
6492,3484,True
9269,4531,True
16014,4072,True
6759,3443,True
11301,3767,True
32046,7752,True
15599,7887,True
0,0,True
20056,10776,True
6092,3110,True
14612,7019,True
43114,20171,True
18258,8388,True
11390,6134,True
6350,3222,True
20182,9141,True
0,0,True
5022,1620,True
23270,12700,True
18650,7301,True
32627,12585,True
14967,4989,True
17471,5049,True
4644,2392,True
32580,18248,True
7787,3481,True
5843,2913,True
35201,19375,True
27244,9424,True
10718,6000,True
19670,10444,True
0,0,True
54923,19295,True
0,0,True
10956,5102,True
19734,9380,True
12827,6703,True
12789,5497,True
30071,11894,True
6375,3421,True
5446,2972,True
19274,8822,True
0,0,True
