Full_search,Skyline,is_equal,time1,time2
1358523,516,True,7.264864921569824,0.10772180557250977
0,0,True,2.1457672119140625e-06,9.5367431640625e-07
3076552,1632,True,15.878849983215332,0.48303985595703125
3371895,954,True,17.516175985336304,0.24462294578552246
3426292,1446,True,16.779147148132324,0.3544480800628662
10075793,2176,True,51.2953200340271,0.4640188217163086
2083935,1279,True,9.869420051574707,0.24154210090637207
2421790,927,True,15.348956823348999,0.21811985969543457
6871987,4352,True,32.49627900123596,0.7882509231567383
0,0,True,0.0,9.5367431640625e-07
1091529,4767,True,5.875638008117676,0.9412050247192383
4710126,2365,True,20.05524206161499,0.4053311347961426
8040333,4015,True,47.184513092041016,0.9218511581420898
3263218,3742,True,19.336288928985596,0.8598899841308594
977306,1308,True,4.923676013946533,0.46338701248168945
4403,222,True,0.02343916893005371,0.06428909301757812
3266180,5894,True,20.187620162963867,1.2809360027313232
2403647,1193,True,13.69740104675293,0.24982595443725586
1185506,1926,True,7.223954916000366,0.5602719783782959
2051244,3054,True,9.69847297668457,0.8030579090118408
337043,5738,True,1.8623759746551514,1.018338918685913
1270561,928,True,6.352118968963623,0.21902108192443848
11688284,1894,True,68.12341094017029,0.6033239364624023
3357371,1110,True,17.39064908027649,0.4743058681488037
773945,492,True,3.789736032485962,0.11351895332336426
9314382,611,True,53.09766983985901,0.1940782070159912
2738037,3469,True,14.29095196723938,1.062041997909546
3598747,5443,True,19.14561891555786,1.5586848258972168
2009281,1880,True,11.6717209815979,0.5949609279632568
875421,4343,True,5.541200160980225,1.3848788738250732
4307600,6302,True,24.103780031204224,1.3907101154327393
1768435,3473,True,12.335793018341064,1.1210360527038574
0,0,True,0.0,9.5367431640625e-07
483661,813,True,2.409306049346924,0.32025694847106934
3847484,4366,True,20.73035192489624,0.9246540069580078
0,0,True,5.9604644775390625e-06,7.867813110351562e-06
1529572,3285,True,8.373512983322144,0.6847479343414307
3181641,1134,True,18.947921991348267,0.32157111167907715
1189709,4683,True,7.348443031311035,0.848567008972168
0,0,True,1.1920928955078125e-06,9.5367431640625e-07
783155,573,True,3.574025869369507,0.20448613166809082
6989091,1697,True,43.156798124313354,0.5560328960418701
483218,1381,True,2.308995008468628,0.47120189666748047
557162,1555,True,3.6149840354919434,0.40469908714294434
266154,645,True,1.2474639415740967,0.1790599822998047
5526387,3811,True,25.49431085586548,0.9280300140380859
6366876,2395,True,40.039042949676514,0.6303679943084717
4019862,2797,True,19.962098121643066,0.6977908611297607
2339165,366,True,15.752588987350464,0.17009902000427246
581316,2475,True,3.4810950756073,0.7189180850982666
1703254,2747,True,9.126430988311768,0.7899279594421387
0,0,True,9.5367431640625e-07,1.9073486328125e-06
163995,378,True,0.9106121063232422,0.13832902908325195
6391296,1034,True,33.263500928878784,0.3636770248413086
10641170,2544,True,68.30368399620056,0.576530933380127
1118086,2287,True,5.04951810836792,0.5300991535186768
0,0,True,9.5367431640625e-07,9.5367431640625e-07
4015764,1173,True,20.550961017608643,0.3398780822753906
1909462,2705,True,8.93396806716919,0.7006280422210693
4424631,1396,True,26.965754985809326,0.5095269680023193
503867,1369,True,2.8840630054473877,0.33939695358276367
606755,1102,True,3.027738094329834,0.33640313148498535
8134624,2804,True,44.32088494300842,0.6723909378051758
1298254,2965,True,7.1607561111450195,0.6788699626922607
183360,2296,True,0.8774778842926025,0.464846134185791
2295060,2448,True,13.083746910095215,0.6764340400695801
3066528,1961,True,19.62039804458618,0.6288619041442871
7774644,665,True,43.74486494064331,0.3468351364135742
6690186,284,True,39.78296399116516,0.12438392639160156
1373674,2646,True,8.616757154464722,0.622208833694458
1385647,1342,True,7.614822864532471,0.6511690616607666
0,0,True,0.0,0.0
8835618,3015,True,42.32011890411377,0.5659170150756836
779274,1655,True,4.819774150848389,0.4123978614807129
5303319,1417,True,32.108124017715454,0.6460301876068115
1303181,761,True,6.238686800003052,0.19507288932800293
0,0,True,9.5367431640625e-07,1.1920928955078125e-06
2394081,4018,True,11.214178085327148,0.7346949577331543
1699621,3140,True,10.413436889648438,0.783519983291626
525239,771,True,3.176244020462036,0.18825197219848633
3854871,3537,True,21.94337797164917,1.185107946395874
6731746,1015,True,49.56796598434448,0.3796350955963135
231635,1962,True,1.2937548160552979,0.4914259910583496
4107112,1312,True,17.74191904067993,0.4561648368835449
8956441,5386,True,50.019092082977295,1.304516077041626
844939,1272,True,4.437307834625244,0.2945730686187744
5666073,2714,True,30.02560782432556,1.0133728981018066
1834558,1848,True,9.769275903701782,0.4397408962249756
12648954,3124,True,68.09764409065247,0.7545030117034912
2029037,2003,True,11.238596200942993,0.5018839836120605
2490344,437,True,16.222618103027344,0.14737200736999512
10920924,2685,True,60.94655203819275,0.6534831523895264
1419287,1558,True,11.328212976455688,0.7812619209289551
411656,624,True,2.0603370666503906,0.17223501205444336
4130494,4591,True,21.651352882385254,0.9983179569244385
515527,2179,True,2.255434036254883,0.6014459133148193
4335764,1175,True,26.66676688194275,0.4932138919830322
0,0,True,9.5367431640625e-07,9.5367431640625e-07
0,0,True,0.0,9.5367431640625e-07
4388864,1634,True,24.70654606819153,0.347369909286499
